ngram freq
to_become_truly_significant 1
jay-uh-shree_in_india_it's 1
in_india_it's_bid-ree 1
india_it's_bid-ree_in 1
it's_bid-ree_in_america 1
bid-ree_in_america_it's 1
in_america_it's_bi-darr-ee 1
this_year's_tour_features 1
year's_tour_features_a 1
tour_features_a_dozen 1
features_a_dozen_midcentury 1
a_dozen_midcentury_modern 1
dozen_midcentury_modern_homes 1
midcentury_modern_homes_in 1
modern_homes_in_the 1
homes_in_the_phoenix 1
in_the_phoenix_neighborhood 1
the_phoenix_neighborhood_of 1
phoenix_neighborhood_of_marion 1
neighborhood_of_marion_estates 1
of_marion_estates_bordering 1
marion_estates_bordering_paradise 1
estates_bordering_paradise_valley 1
bordering_paradise_valley_the 1
paradise_valley_the_hilly 1
valley_the_hilly_enclave 1
the_hilly_enclave_of 1
hilly_enclave_of_custom 1
enclave_of_custom_homes 1
of_custom_homes_includes 1
custom_homes_includes_work 1
homes_includes_work_by 1
includes_work_by_architects 1
work_by_architects_ralph 1
by_architects_ralph_haver 1
architects_ralph_haver_blaine 1
ralph_haver_blaine_drake 1
haver_blaine_drake_al 1
blaine_drake_al_beadle 1
drake_al_beadle_and 1
al_beadle_and_charles 1
beadle_and_charles_schreiber 1
police_said_kellenyi_a 1
said_kellenyi_a_passenger 1
kellenyi_a_passenger_in 1
a_passenger_in_the 1
passenger_in_the_back 1
in_the_back_seat 1
the_back_seat_of 1
back_seat_of_a 1
seat_of_a_saturn 1
of_a_saturn_was 1
a_saturn_was_killed 1
saturn_was_killed_in 1
was_killed_in_the 1
killed_in_the_crash 1
in_the_crash_which 1
the_crash_which_occurred 1
crash_which_occurred_at 1
which_occurred_at_p.m 1
occurred_at_p.m_saturday 1
at_p.m_saturday_night 1
p.m_saturday_night_at 1
saturday_night_at_the 1
night_at_the_intersection 1
at_the_intersection_of 1
the_intersection_of_pitman-downer 1
intersection_of_pitman-downer_road 1
of_pitman-downer_road_and 1
pitman-downer_road_and_altair 1
road_and_altair_drive 1
while_there_are_clearly 1
there_are_clearly_some 1
are_clearly_some_cases 1
clearly_some_cases_of 1
some_cases_of_abuse 1
cases_of_abuse_by 1
of_abuse_by_people 1
abuse_by_people_who 1
by_people_who_claim 1
people_who_claim_food 1
who_claim_food_stamps 1
claim_food_stamps_but 1
food_stamps_but_don't 1
stamps_but_don't_really 1
but_don't_really_need 1
don't_really_need_them 1
really_need_them_for 1
need_them_for_many 1
them_for_many_americans 1
for_many_americans_like 1
many_americans_like_saucedo 1
americans_like_saucedo_there 1
like_saucedo_there_is 1
saucedo_there_is_little 1
there_is_little_current 1
is_little_current_alternative 1
little_current_alternative_if 1
current_alternative_if_they 1
alternative_if_they_are 1
if_they_are_to 1
they_are_to_put 1
are_to_put_food 1
to_put_food_on 1
put_food_on_the 1
food_on_the_table 1
on_the_table_while 1
the_table_while_paying 1
table_while_paying_rent 1
while_paying_rent_and 1
paying_rent_and_utility 1
rent_and_utility_bills 1
big_commissioner_dan_beebe 1
